Truck Model (TM),Nominal Tonnage (tonnes) (NT),"Material Type (MAT),",Fixed Time(FH+EH),Variable Time (DT+Q+LT),"Number of loads (NL),",Cycle Distance (km) (CD),Production (t) (P)
CAT 777F,84.8,Low Grade,10.3,6.1,6,1.6,508.8
CAT 777F,84.8,Waste,13.2,3.2,26,1.6,2204.8
CAT 777E,84.8,High Grade,10.7,5.7,4,1.7,339.2
CAT 777F,84.8,Low Grade,10.8,5.6,6,1.8,508.8
CAT 777F,84.8,Waste,13.8,2.6,10,1.8,848
CAT 777F,84.8,Waste,12.5,3.9,23,1.8,1950.4
CAT 777F,84.8,High Grade,10.1,6.3,6,1.9,508.8
CAT 785C,135.15,Waste,13,3.4,14,1.9,1892.1
CAT 777F,84.8,High Grade,12.4,4,5,2,424
CAT 777F,84.8,Waste,11.8,4.6,28,2,2374.4
CAT 777E,84.8,Waste,11.5,4.9,33,2.3,2798.4
KOMATSU HD785,84.8,Waste,14.4,2,88,2.4,7462.4
CAT 777E,84.8,High Grade,12,4.4,7,2.5,593.6
CAT 777E,84.8,High Grade,12.2,4.2,7,2.5,593.6
KOMATSU HD785,84.8,Waste,13,3.4,35,2.5,2968
CAT 777F,84.8,Waste,11,5.4,5,2.6,424
CAT 785C,135.15,Waste,8.2,8.2,15,2.9,2027.25
CAT 777F,84.8,Waste,12.9,3.5,31,3,2628.8
CAT 777F,84.8,Waste,13.2,3.2,2,3.2,169.6
CAT 777E,84.8,Waste,13.8,2.6,2,3.4,169.6
CAT 785C,135.15,Waste,14,2.4,12,3.4,1621.8
CAT 785C,135.15,Waste,14.6,1.8,13,3.8,1756.95
KOMATSU HD785,84.8,Waste,13.9,2.5,2,4,169.6
CAT 785C,135.15,Waste,9.5,6.9,11,4,1486.65
CAT 777E,84.8,Waste,11.9,4.5,1,4.2,84.8
CAT 777E,84.8,Waste,15.4,1,2,4.8,169.6
CAT 785C,135.15,Waste,11,5.4,33,5.1,4459.95
CAT 777F,84.8,Waste,14.1,2.3,1,5.3,84.8
CAT 785C,135.15,Waste,12.6,3.8,2,5.3,270.3
CAT 777F,84.8,Waste,11.9,4.5,31,5.3,2628.8
CAT 777F,84.8,High Grade,11.2,5.2,3,1.5,254.4
CAT 785C,135.15,Waste,14.7,1.7,6,1.8,810.9
CAT 777F,84.8,Waste,12.2,4.2,21,1.8,1780.8
CAT 777E,84.8,Waste,11.2,5.2,27,1.9,2289.6
CAT 777F,84.8,Waste,10,6.4,3,2,254.4
CAT 777E,84.8,Waste,11.9,4.5,7,2.7,593.6
CAT 777F,84.8,Waste,13.5,2.9,18,2.9,1526.4
CAT 777E,84.8,High Grade,13.7,2.7,7,3.9,593.6
CAT 785C,135.15,Waste,12,4.4,23,4.2,3108.45
CAT 785C,135.15,Waste,12.4,4,12,4.5,1621.8
CAT 777F,84.8,Waste,11.1,5.3,8,5.3,678.4
CAT 777F,84.8,High Grade,11.6,4.9,6,1.2,508.8
CAT 777F,84.8,Waste,12.9,3.6,6,2,508.8
CAT 777F,84.8,Waste,12.8,3.7,12,2.6,1017.6
CAT 777F,84.8,High Grade,13.4,3.1,3,0.8,254.4
CAT 777F,84.8,Waste,14.3,2.2,4,1.3,339.2
CAT 777F,84.8,Low Grade,13.2,3.3,4,1.3,339.2
CAT 777F,84.8,High Grade,8.3,8.2,6,1.4,508.8
CAT 785C,135.15,Waste,10.9,5.6,13,1.4,1756.95
CAT 777E,84.8,High Grade,9.6,6.9,1,1.7,84.8
CAT 785C,135.15,Waste,7.9,8.6,12,1.7,1621.8
CAT 777F,84.8,Waste,13.8,2.7,11,1.9,932.8
CAT 777E,84.8,High Grade,11.5,5,5,2,424
CAT 777E,84.8,High Grade,11.5,5,4,2.1,339.2
CAT 777E,84.8,Low Grade,9.7,6.8,3,2.2,254.4
CAT 777E,84.8,Waste,11.2,5.3,6,2.5,508.8
CAT 777F,84.8,Waste,11.4,5.1,6,2.6,508.8
CAT 777E,84.8,Waste,13.2,3.3,3,2.7,254.4
CAT 777F,84.8,Waste,11.7,4.8,28,2.7,2374.4
CAT 777F,84.8,Waste,12.6,3.9,35,2.7,2968
CAT 777F,84.8,Waste,14.3,2.2,18,2.8,1526.4
CAT 777F,84.8,Waste,11.3,5.2,28,2.8,2374.4
CAT 777F,84.8,Waste,11.2,5.3,8,2.9,678.4
CAT 777F,84.8,Waste,13.5,3,17,3,1441.6
CAT 777F,84.8,Waste,11.3,5.2,31,3.2,2628.8
CAT 777E,84.8,Waste,12.5,4,15,3.4,1272
CAT 777F,84.8,Waste,12.3,4.2,8,3.5,678.4
CAT 777E,84.8,Waste,11,5.5,10,3.6,848
KOMATSU HD785,84.8,Waste,12.3,4.2,10,3.6,848
CAT 777E,84.8,Waste,10.8,5.7,1,3.8,84.8
CAT 777F,84.8,Waste,13.7,2.8,28,3.9,2374.4
CAT 777E,84.8,Waste,10,6.5,13,4,1102.4
CAT 777E,84.8,High Grade,7.2,9.3,3,4.5,254.4
CAT 785C,135.15,Waste,12,4.5,7,5.1,946.05
CAT 785C,135.15,Waste,12.9,3.6,5,5.2,675.75
CAT 785C,135.15,Waste,11.7,4.8,22,5.2,2973.3
CAT 785C,135.15,Waste,12.6,3.9,1,6.9,135.15
CAT 785C,135.15,Waste,12.2,4.3,1,6.9,135.15
CAT 777E,84.8,High Grade,14.9,1.6,1,7.1,84.8
CAT 777E,84.8,Waste,15,1.5,1,8.3,84.8
CAT 777F,84.8,Waste,11.7,4.8,7,3.5,593.6
CAT 777E,84.8,Waste,12,4.5,14,4,1187.2
CAT 777F,84.8,Low Grade,9.5,7.1,4,1.5,339.2
CAT 785C,135.15,Low Grade,12.8,3.8,7,2,946.05
CAT 777E,84.8,Waste,9.4,7.2,7,2.5,593.6
CAT 785C,135.15,Waste,11.5,5.1,26,2.6,3513.9
CAT 777E,84.8,Waste,11.2,5.4,8,2.7,678.4
CAT 777F,84.8,Waste,11.1,5.5,24,2.8,2035.2
CAT 777E,84.8,Waste,12.1,4.5,4,2.9,339.2
CAT 777F,84.8,Waste,13.6,3,22,3,1865.6
KOMATSU HD785,84.8,Waste,11,5.6,16,3.1,1356.8
CAT 777E,84.8,Waste,11.1,5.5,34,3.1,2883.2
CAT 777F,84.8,Waste,14,2.6,3,3.7,254.4
CAT 777F,84.8,Waste,12.6,4,19,3.7,1611.2
CAT 777E,84.8,Waste,11.6,5,5,3.8,424
CAT 777E,84.8,Waste,12.4,4.2,28,3.8,2374.4
CAT 785C,135.15,Waste,14.9,1.7,1,8.2,135.15
CAT 777F,84.8,High Grade,12.3,4.3,1,1.2,84.8
KOMATSU HD785,84.8,Waste,14.3,2.3,54,1.5,4579.2
CAT 777F,84.8,High Grade,10.7,5.9,6,1.6,508.8
CAT 785C,135.15,Waste,11.4,5.2,8,1.6,1081.2
CAT 785C,135.15,Waste,12.4,4.2,5,1.7,675.75
CAT 777E,84.8,High Grade,10.3,6.3,2,1.8,169.6
CAT 777E,84.8,Waste,14.4,2.2,7,1.8,593.6
CAT 777E,84.8,High Grade,11.3,5.3,7,1.8,593.6
CAT 785C,135.15,High Grade,7.5,9.1,6,1.9,810.9
CAT 777E,84.8,High Grade,9.6,7,5,2,424
CAT 785C,135.15,High Grade,9.8,6.8,6,2,810.9
CAT 777F,84.8,High Grade,9.5,7.1,7,2,593.6
CAT 777F,84.8,Low Grade,8.8,7.8,9,2,763.2
CAT 777E,84.8,High Grade,16.2,0.4,2,2.1,169.6
CAT 777F,84.8,Waste,12.9,3.7,33,2.1,2798.4
CAT 777F,84.8,Waste,12.2,4.4,5,2.3,424
CAT 785C,135.15,Low Grade,9.9,6.7,5,2.3,675.75
CAT 777E,84.8,High Grade,10.2,6.4,2,2.5,169.6
CAT 777F,84.8,Waste,12.1,4.5,25,2.5,2120
CAT 777E,84.8,Waste,13.6,3,31,2.5,2628.8
CAT 777E,84.8,Waste,14,2.6,32,2.5,2713.6
CAT 777F,84.8,Waste,13.7,2.9,33,2.5,2798.4
CAT 777F,84.8,High Grade,4.7,11.9,1,2.6,84.8
CAT 777E,84.8,High Grade,12.9,3.7,2,2.6,169.6
CAT 777F,84.8,Waste,12.1,4.5,20,2.6,1696
CAT 777E,84.8,High Grade,12.2,4.4,1,2.9,84.8
CAT 777F,84.8,Waste,13.2,3.4,13,2.9,1102.4
CAT 777F,84.8,Waste,13.1,3.5,13,2.9,1102.4
CAT 777F,84.8,Low Grade,6.3,10.3,2,3,169.6
CAT 777F,84.8,Waste,11.8,4.8,8,3.1,678.4
CAT 777F,84.8,Waste,12.1,4.5,15,3.1,1272
CAT 777F,84.8,Waste,13.2,3.4,11,3.2,932.8
CAT 777E,84.8,Waste,10.7,5.9,5,3.4,424
CAT 777E,84.8,Waste,13.2,3.4,16,3.5,1356.8
CAT 777E,84.8,Waste,11.5,5.1,21,3.7,1780.8
CAT 777F,84.8,Waste,12.5,4.1,5,3.8,424
CAT 777F,84.8,Waste,10.2,6.4,1,4,84.8
CAT 785C,135.15,Waste,14.6,2,6,4.2,810.9
CAT 777F,84.8,Waste,14.2,2.4,2,4.4,169.6
CAT 777E,84.8,Waste,14.7,1.9,10,4.9,848
CAT 785C,135.15,Waste,9,7.6,3,5.3,405.45
CAT 777F,84.8,Waste,8.3,8.4,32,0.8,2713.6
CAT 777E,84.8,Waste,12.7,4,1,1.3,84.8
CAT 777E,84.8,High Grade,12.9,3.8,2,1.4,169.6
CAT 785C,135.15,High Grade,7.2,9.5,2,1.5,270.3
CAT 777F,84.8,Low Grade,13.5,3.2,5,1.5,424
CAT 777F,84.8,High Grade,12,4.7,6,1.5,508.8
CAT 777F,84.8,Waste,13.4,3.3,24,1.5,2035.2
CAT 777E,84.8,High Grade,7.7,9,1,1.7,84.8
CAT 777F,84.8,Waste,11.4,5.3,2,1.7,169.6
CAT 777E,84.8,Waste,11.8,4.9,3,1.7,254.4
CAT 777F,84.8,Low Grade,12.6,4.1,10,1.7,848
CAT 785C,135.15,Waste,8.8,7.9,13,1.7,1756.95
CAT 785C,135.15,Waste,11,5.7,5,1.8,675.75
CAT 777E,84.8,High Grade,11.2,5.5,6,1.9,508.8
CAT 777F,84.8,Low Grade,10.3,6.4,1,2,84.8
CAT 777E,84.8,High Grade,11.7,5,6,2.3,508.8
CAT 777F,84.8,High Grade,12.4,4.3,3,2.7,254.4
CAT 777F,84.8,Waste,11.2,5.5,8,2.7,678.4
CAT 777E,84.8,Waste,11.3,5.4,26,2.7,2204.8
CAT 785C,135.15,Waste,12.4,4.3,12,2.8,1621.8
CAT 777F,84.8,Low Grade,12.5,4.2,1,2.9,84.8
CAT 777E,84.8,Waste,11.5,5.2,4,2.9,339.2
CAT 777E,84.8,Waste,12.9,3.8,7,3,593.6
CAT 777E,84.8,Waste,11,5.7,30,3.1,2544
CAT 777F,84.8,Waste,13.3,3.4,17,3.2,1441.6
CAT 777E,84.8,Waste,11.6,5.1,29,3.2,2459.2
CAT 777F,84.8,Waste,13.6,3.1,2,3.3,169.6
CAT 777E,84.8,Waste,14.3,2.4,16,3.3,1356.8
CAT 785C,135.15,Waste,11.7,5,10,3.7,1351.5
CAT 785C,135.15,High Grade,12.5,4.2,2,3.9,270.3
CAT 777F,84.8,Waste,14.1,2.6,14,4,1187.2
CAT 785C,135.15,Waste,13.8,2.9,14,4.2,1892.1
CAT 785C,135.15,Waste,13.8,2.9,1,4.3,135.15
CAT 785C,135.15,Waste,11.2,5.5,31,5.1,4189.65
CAT 785C,135.15,Waste,13.3,3.4,2,5.5,270.3
CAT 785C,135.15,Waste,13.9,2.8,3,5.7,405.45
CAT 785C,135.15,Waste,12.7,4,4,8.1,540.6
CAT 785C,135.15,Waste,13.2,3.5,2,8.3,270.3
CAT 777E,84.8,High Grade,8.3,8.4,4,1.6,339.2
CAT 777E,84.8,High Grade,10.3,6.4,8,2.2,678.4
CAT 785C,135.15,Low Grade,10.6,6.1,6,2.4,810.9
CAT 785C,135.15,Waste,11.2,5.5,6,3,810.9
CAT 785C,135.15,Waste,10,6.7,6,4.2,810.9
CAT 777E,84.8,Waste,12.3,4.4,8,4.6,678.4
CAT 777F,84.8,Low Grade,4.7,12.1,2,0.5,169.6
CAT 777F,84.8,Waste,11.6,5.2,32,1.6,2713.6
CAT 777F,84.8,High Grade,10.1,6.7,2,1.7,169.6
CAT 777F,84.8,Waste,8.7,8.1,2,1.9,169.6
CAT 777E,84.8,Waste,10.7,6.1,2,2,169.6
CAT 777F,84.8,Waste,15.1,1.7,5,2.1,424
CAT 785C,135.15,Low Grade,10.8,6,4,2.6,540.6
CAT 777F,84.8,Waste,13.4,3.4,1,2.9,84.8
CAT 777F,84.8,Waste,12.4,4.4,19,3,1611.2
CAT 777E,84.8,Waste,11.9,4.9,22,3.9,1865.6
CAT 777F,84.8,Waste,11.9,4.9,5,4,424
CAT 777F,84.8,Low Grade,7.2,9.6,2,1.4,169.6
CAT 777F,84.8,Low Grade,12.9,3.9,4,1.5,339.2
CAT 777E,84.8,Waste,14.7,2.1,2,2,169.6
CAT 777F,84.8,High Grade,12.2,4.6,3,2.1,254.4
CAT 777F,84.8,Waste,10.4,6.4,3,2.2,254.4
CAT 777F,84.8,Waste,13.7,3.1,2,2.4,169.6
CAT 777F,84.8,Waste,11.1,5.7,20,2.5,1696
CAT 777E,84.8,Waste,13.8,3,5,2.7,424
CAT 785C,135.15,Waste,11.1,5.7,17,2.7,2297.55
CAT 785C,135.15,High Grade,7.2,9.6,2,2.8,270.3
CAT 777E,84.8,Waste,13.4,3.4,5,2.8,424
CAT 777E,84.8,Waste,9.8,7,9,3,763.2
CAT 777E,84.8,Waste,13.9,2.9,11,3,932.8
CAT 777F,84.8,Waste,12.4,4.4,23,3,1950.4
CAT 777F,84.8,Waste,11.6,5.2,33,3,2798.4
CAT 785C,135.15,Waste,9.1,7.7,26,3.1,3513.9
CAT 777F,84.8,Waste,11.5,5.3,6,3.3,508.8
CAT 777E,84.8,Waste,11.1,5.7,27,3.3,2289.6
CAT 777E,84.8,Waste,13.8,3,6,3.5,508.8
CAT 777F,84.8,Waste,12.2,4.6,18,3.6,1526.4
CAT 785C,135.15,Waste,14.6,2.2,11,3.7,1486.65
CAT 777F,84.8,Waste,12.6,4.2,23,3.7,1950.4
CAT 785C,135.15,High Grade,14.7,2.1,1,3.8,135.15
CAT 777E,84.8,Waste,11.9,4.9,17,3.8,1441.6
CAT 777E,84.8,Waste,14.9,1.9,1,3.9,84.8
CAT 777F,84.8,Waste,11.4,5.4,4,3.9,339.2
CAT 785C,135.15,Waste,11,5.8,5,4.5,675.75
KOMATSU HD1500,135.15,Waste,12.8,4,3,4.8,405.45
CAT 777E,84.8,Waste,12.2,4.6,27,4.8,2289.6
KOMATSU HD785,84.8,High Grade,9.7,7.1,4,5.3,339.2
CAT 777F,84.8,High Grade,14.4,2.4,5,5.4,424
CAT 777E,84.8,Waste,13.4,3.4,2,6.2,169.6
KOMATSU HD1500,135.15,Waste,16.2,0.6,1,7.2,135.15
CAT 777E,84.8,High Grade,14.2,2.6,2,8.4,169.6
CAT 777E,84.8,Waste,9,7.8,3,8.5,254.4
CAT 777F,84.8,High Grade,11.4,5.5,1,1,84.8
CAT 777F,84.8,Low Grade,13.5,3.4,8,1,678.4
CAT 777F,84.8,High Grade,9.3,7.6,4,1.1,339.2
CAT 777F,84.8,High Grade,11.8,5.1,3,1.2,254.4
CAT 777F,84.8,High Grade,9.4,7.5,3,1.2,254.4
CAT 777F,84.8,Low Grade,13,3.9,5,1.3,424
CAT 777F,84.8,High Grade,10.7,6.2,2,1.5,169.6
CAT 777F,84.8,High Grade,11.4,5.5,3,1.5,254.4
CAT 777F,84.8,Waste,11.7,5.2,10,1.7,848
CAT 777E,84.8,High Grade,10.4,6.5,11,1.7,932.8
CAT 777E,84.8,High Grade,11.3,5.6,5,1.8,424
CAT 777F,84.8,Waste,13.7,3.2,1,1.9,84.8
CAT 777F,84.8,Low Grade,7.2,9.7,1,2,84.8
CAT 777F,84.8,Low Grade,10.1,6.8,2,2,169.6
CAT 777E,84.8,Waste,13.7,3.2,21,2,1780.8
CAT 777F,84.8,Waste,12,4.9,25,2,2120
CAT 777E,84.8,Waste,13.9,3,3,2.2,254.4
CAT 777F,84.8,High Grade,9.1,7.8,5,2.3,424
CAT 777F,84.8,High Grade,8.6,8.3,6,2.3,508.8
CAT 777F,84.8,Waste,13.2,3.7,24,2.3,2035.2
CAT 777F,84.8,High Grade,14.4,2.5,3,2.4,254.4
CAT 777E,84.8,Low Grade,12.2,4.7,2,2.5,169.6
KOMATSU HD785,84.8,High Grade,12.8,4.1,3,2.5,254.4
CAT 777E,84.8,Waste,12.8,4.1,8,2.6,678.4
CAT 777E,84.8,Waste,10.8,6.1,9,2.6,763.2
CAT 777E,84.8,Waste,12.5,4.4,3,2.7,254.4
CAT 777F,84.8,Waste,13.8,3.1,21,2.7,1780.8
CAT 777F,84.8,Waste,13.6,3.3,35,2.7,2968
CAT 777F,84.8,Waste,13.4,3.5,37,2.9,3137.6
CAT 777E,84.8,Waste,13.4,3.5,8,3.1,678.4
CAT 777F,84.8,Waste,13.4,3.5,19,3.1,1611.2
CAT 777F,84.8,Waste,10,6.9,1,3.2,84.8
CAT 777E,84.8,Waste,12.5,4.4,6,3.5,508.8
CAT 777F,84.8,Waste,12.4,4.5,17,3.5,1441.6
CAT 777F,84.8,Waste,12.2,4.7,19,3.5,1611.2
CAT 777E,84.8,Waste,12.2,4.7,27,3.6,2289.6
CAT 777E,84.8,Waste,12.6,4.3,14,3.7,1187.2
CAT 777E,84.8,Waste,12.5,4.4,8,3.9,678.4
CAT 777E,84.8,Waste,14.9,2,13,3.9,1102.4
CAT 777F,84.8,Waste,12.5,4.4,21,4.8,1780.8
CAT 785C,135.15,Waste,11.6,5.3,18,5.3,2432.7
KOMATSU HD1500,135.15,Waste,13.6,3.3,4,6.2,540.6
CAT 785C,135.15,Waste,14.8,2.1,6,6.3,810.9
CAT 777F,84.8,High Grade,13.4,3.5,5,1.2,424
CAT 777F,84.8,Waste,13.9,3,28,2,2374.4
CAT 777E,84.8,Waste,13.3,3.6,2,2.4,169.6
CAT 785C,135.15,Waste,8.2,8.7,21,2.4,2838.15
CAT 777F,84.8,Waste,10.3,6.6,27,2.7,2289.6
CAT 777F,84.8,Waste,13.8,3.1,7,2.8,593.6
CAT 777F,84.8,Waste,13.6,3.3,3,3,254.4
CAT 777F,84.8,Waste,11.5,5.4,15,3,1272
CAT 777E,84.8,Waste,13.8,3.1,27,3.3,2289.6
CAT 785C,135.15,Waste,11.9,5,7,3.4,946.05
CAT 777E,84.8,Waste,12.9,4,21,3.6,1780.8
CAT 777E,84.8,Waste,12.3,4.6,31,3.9,2628.8
CAT 777E,84.8,Waste,14.8,2.1,11,4,932.8
CAT 777F,84.8,Waste,12.3,4.6,34,4,2883.2
CAT 777F,84.8,Waste,15.4,1.6,2,3.3,169.6
CAT 777E,84.8,High Grade,15.1,1.9,2,1,169.6
CAT 785C,135.15,Low Grade,7.7,9.3,2,1.1,270.3
CAT 777F,84.8,Waste,12.9,4.1,1,1.4,84.8
CAT 777F,84.8,Waste,13.7,3.3,10,1.5,848
CAT 777F,84.8,Low Grade,10.2,6.8,1,1.6,84.8
CAT 777F,84.8,Waste,11.6,5.4,8,1.7,678.4
CAT 785C,135.15,Waste,11.1,5.9,13,1.7,1756.95
CAT 777F,84.8,High Grade,12.8,4.2,2,1.8,169.6
CAT 777E,84.8,High Grade,9.6,7.4,6,1.8,508.8
CAT 777F,84.8,High Grade,12.1,4.9,6,1.8,508.8
CAT 785C,135.15,High Grade,9.4,7.6,2,1.9,270.3
CAT 777E,84.8,Waste,12,5,3,1.9,254.4
CAT 777F,84.8,Low Grade,12.2,4.8,1,2.1,84.8
CAT 785C,135.15,Waste,8.3,8.7,8,2.1,1081.2
CAT 777F,84.8,Waste,10.9,6.1,28,2.1,2374.4
CAT 785C,135.15,Low Grade,7.5,9.5,3,2.3,405.45
KOMATSU HD785,84.8,High Grade,13.9,3.1,4,2.3,339.2
CAT 777F,84.8,Waste,14.3,2.7,9,2.3,763.2
CAT 785C,135.15,High Grade,10.5,6.5,4,2.5,540.6
CAT 777F,84.8,Waste,12.9,4.1,13,2.5,1102.4
CAT 785C,135.15,Low Grade,10.9,6.1,3,2.6,405.45
CAT 777F,84.8,Waste,12.2,4.8,27,2.6,2289.6
CAT 777F,84.8,Waste,12,5,11,2.7,932.8
CAT 777F,84.8,Waste,13.2,3.8,25,2.7,2120
CAT 777F,84.8,Low Grade,10.3,6.7,1,2.9,84.8
CAT 785C,135.15,Low Grade,9.3,7.7,2,2.9,270.3
CAT 777E,84.8,High Grade,13.1,3.9,4,2.9,339.2
CAT 777F,84.8,Waste,14.4,2.6,17,3,1441.6
CAT 777F,84.8,Waste,13.7,3.3,34,3,2883.2
KOMATSU HD1500,135.15,Waste,14.6,2.4,17,3.1,2297.55
CAT 777F,84.8,Waste,13.4,3.6,6,3.3,508.8
CAT 777E,84.8,Waste,10.1,6.9,20,3.3,1696
CAT 777E,84.8,Waste,13.5,3.5,21,3.3,1780.8
CAT 785C,135.15,Waste,9.7,7.3,27,3.3,3649.05
CAT 777F,84.8,Waste,11,6,19,3.4,1611.2
CAT 777E,84.8,Waste,13.5,3.5,25,3.6,2120
CAT 777F,84.8,Waste,12.6,4.4,3,4.4,254.4
CAT 785C,135.15,Waste,13,4,6,5,810.9
CAT 785C,135.15,Waste,13,4,23,5.6,3108.45
CAT 777F,84.8,High Grade,9.7,7.3,6,8,508.8
CAT 785C,135.15,Waste,13,4,11,9.8,1486.65
CAT 777F,84.8,Waste,13.6,3.4,24,1.3,2035.2
CAT 777F,84.8,Waste,13.2,3.9,3,1.9,254.4
CAT 777F,84.8,Waste,13.6,3.5,15,1.9,1272
CAT 777F,84.8,Low Grade,6.8,10.3,2,2,169.6
CAT 777F,84.8,Low Grade,11.1,6,4,2.2,339.2
KOMATSU HD785,84.8,Waste,14,3.1,6,2.3,508.8
CAT 777F,84.8,Waste,10.6,6.5,28,2.7,2374.4
CAT 777F,84.8,Waste,10,7.1,24,2.9,2035.2
CAT 777F,84.8,Waste,10.1,7,16,3,1356.8
CAT 777F,84.8,Waste,13.7,3.4,19,3,1611.2
CAT 785C,135.15,Low Grade,11.5,5.6,2,3.2,270.3
CAT 785C,135.15,Low Grade,14.3,2.8,1,3.7,135.15
CAT 777E,84.8,Waste,13.4,3.7,26,3.7,2204.8
CAT 777E,84.8,Waste,14.7,2.4,2,4,169.6
CAT 785C,135.15,Waste,16.6,0.5,1,4.3,135.15
CAT 777F,84.8,Waste,11.8,5.3,8,4.5,678.4
CAT 777E,84.8,High Grade,9.6,7.5,1,1,84.8
CAT 777F,84.8,High Grade,13.7,3.4,7,1,593.6
CAT 777F,84.8,Low Grade,12.8,4.3,8,1.2,678.4
CAT 777E,84.8,Low Grade,12.2,4.9,3,1.4,254.4
CAT 785C,135.15,High Grade,7.2,9.9,6,1.5,810.9
CAT 777F,84.8,Waste,10.5,6.6,2,1.6,169.6
CAT 777F,84.8,Low Grade,9,8.1,6,1.7,508.8
CAT 777F,84.8,Waste,11.1,6,8,1.7,678.4
CAT 777F,84.8,High Grade,13.8,3.3,2,1.8,169.6
CAT 785C,135.15,Waste,10.2,6.9,12,1.8,1621.8
CAT 785C,135.15,Low Grade,12.9,4.2,1,1.9,135.15
CAT 777E,84.8,Waste,12.3,4.8,27,2,2289.6
CAT 777F,84.8,High Grade,12.3,4.8,3,2.2,254.4
CAT 777F,84.8,Waste,10,7.1,12,2.2,1017.6
CAT 777F,84.8,Waste,11.2,5.9,18,2.3,1526.4
CAT 785C,135.15,Waste,10.4,6.7,4,2.4,540.6
CAT 777F,84.8,Low Grade,11.9,5.2,8,2.5,678.4
CAT 777F,84.8,Waste,13.4,3.7,10,2.6,848
CAT 777E,84.8,High Grade,12.3,4.8,2,2.7,169.6
CAT 777F,84.8,Waste,12.8,4.3,7,2.8,593.6
CAT 785C,135.15,Waste,15.5,1.6,8,2.9,1081.2
CAT 777F,84.8,Waste,10.8,6.3,13,2.9,1102.4
CAT 777F,84.8,Waste,13.4,3.7,6,3,508.8
CAT 777F,84.8,Waste,13.9,3.2,24,3,2035.2
CAT 777F,84.8,Waste,14,3.1,23,3.1,1950.4
CAT 785C,135.15,Waste,11.3,5.8,8,3.3,1081.2
CAT 777F,84.8,Waste,10.8,6.3,25,3.3,2120
CAT 777E,84.8,Waste,14.7,2.4,11,3.4,932.8
CAT 777F,84.8,Waste,12,5.1,21,3.4,1780.8
CAT 777E,84.8,High Grade,13.9,3.2,4,3.9,339.2
CAT 785C,135.15,Waste,14.8,2.3,16,4.5,2162.4
CAT 785C,135.15,Waste,11.8,5.3,30,5.1,4054.5
CAT 777E,84.8,High Grade,13,4.1,6,6.9,508.8
CAT 777E,84.8,High Grade,14.6,2.5,1,7.7,84.8
CAT 785C,135.15,Waste,5.8,11.3,2,8.4,270.3
CAT 785C,135.15,Waste,13.7,3.4,1,9.3,135.15
CAT 777E,84.8,Waste,16.2,0.9,2,4.2,169.6
CAT 777F,84.8,Low Grade,11.8,5.4,1,3.7,84.8
CAT 785C,135.15,High Grade,5.5,11.7,1,1.1,135.15
CAT 777E,84.8,High Grade,13.4,3.8,3,1.1,254.4
CAT 785C,135.15,High Grade,12,5.2,10,1.2,1351.5
CAT 777E,84.8,High Grade,12.8,4.4,2,1.3,169.6
CAT 777E,84.8,Waste,13.4,3.8,24,1.5,2035.2
CAT 777F,84.8,High Grade,12.5,4.7,6,1.6,508.8
CAT 785C,135.15,High Grade,9.8,7.4,3,1.7,405.45
CAT 777E,84.8,Waste,14.3,2.9,5,1.7,424
CAT 777E,84.8,Waste,12.9,4.3,3,1.8,254.4
CAT 785C,135.15,Waste,9.8,7.4,3,1.8,405.45
CAT 777E,84.8,High Grade,12.2,5,5,1.8,424
CAT 777F,84.8,Waste,13.5,3.7,13,1.8,1102.4
CAT 785C,135.15,Waste,12.8,4.4,19,1.8,2567.85
CAT 777F,84.8,High Grade,12.1,5.1,5,2,424
CAT 777F,84.8,Waste,12.3,4.9,6,2.1,508.8
CAT 777F,84.8,Waste,13.2,4,32,2.1,2713.6
CAT 785C,135.15,Low Grade,12.7,4.5,4,2.4,540.6
CAT 777E,84.8,Waste,13.9,3.3,7,2.4,593.6
CAT 777F,84.8,High Grade,12.4,4.8,7,2.4,593.6
CAT 785C,135.15,Waste,11,6.2,21,2.4,2838.15
CAT 785C,135.15,Waste,13.2,4,2,2.5,270.3
CAT 777E,84.8,Waste,15.7,1.5,3,2.6,254.4
CAT 785C,135.15,Waste,13,4.2,16,2.6,2162.4
CAT 777F,84.8,Waste,14,3.2,12,2.7,1017.6
CAT 777F,84.8,Waste,12.4,4.8,13,2.7,1102.4
CAT 785C,135.15,Waste,10.7,6.5,18,2.7,2432.7
CAT 785C,135.15,High Grade,6.2,11,2,2.9,270.3
CAT 777F,84.8,Waste,13.4,3.8,17,2.9,1441.6
CAT 777F,84.8,Waste,13.2,4,9,3,763.2
CAT 777E,84.8,Waste,13.2,4,14,3,1187.2
CAT 777E,84.8,High Grade,9.5,7.7,1,3.1,84.8
CAT 777E,84.8,High Grade,5.5,11.7,1,3.1,84.8
CAT 777F,84.8,Waste,14.6,2.6,5,3.1,424
CAT 777F,84.8,Waste,14.8,2.4,9,3.1,763.2
CAT 777F,84.8,Waste,14.3,2.9,17,3.1,1441.6
CAT 777F,84.8,Waste,13,4.2,19,3.1,1611.2
CAT 777E,84.8,Waste,15.1,2.1,8,3.2,678.4
CAT 777F,84.8,Waste,12.7,4.5,4,3.3,339.2
CAT 777E,84.8,Waste,11.3,5.9,32,3.3,2713.6
CAT 777E,84.8,Waste,14.1,3.1,5,3.4,424
